Pigmentation_Level,Hydration_Level,Oily_Level,Recommended_Skincare_Product,Skin_Type
High,High,Low,Estée Lauder - Advanced Night Repair Serum,"Dry, Pigmented"
Low,High,Medium,Clarins - Gentle Exfoliator,"Combination, Sensitive"
High,High,Low,Estée Lauder - Advanced Night Repair Serum,"Dry, Pigmented"
High,Low,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,High,Medium,Clarins - Gentle Exfoliator,"Combination, Sensitive"
Low,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,Low,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,Low,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,Medium,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,High,Low,Estée Lauder - Advanced Night Repair Serum,"Dry, Pigmented"
High,Medium,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,Low,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,High,Low,Estée Lauder - Advanced Night Repair Serum,"Dry, Pigmented"
Medium,Low,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,Medium,Medium,Clarins - Gentle Exfoliator,"Combination, Sensitive"
Medium,Low,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,High,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Medium,Low,La Mer - The Revitalizing Hydrating Cream,"Normal, Balanced"
Low,Low,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Medium,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,High,Medium,Sisley - Hydrating Anti-Aging Serum,"Combination, Balanced"
Low,High,Low,Chanel - Hydra Beauty Micro Sérum,"Dry, Sensitive"
Low,Low,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,High,Medium,Clarins - Gentle Exfoliator,"Combination, Sensitive"
High,Low,High,La Mer - The Oil Absorbing Lotion,"Oily, Pigmented"
High,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,Medium,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,Low,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Low,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Medium,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,High,Low,Estée Lauder - Advanced Night Repair Serum,"Dry, Pigmented"
Medium,High,Medium,Sisley - Hydrating Anti-Aging Serum,"Combination, Balanced"
High,Medium,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,High,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,Low,High,La Mer - The Oil Absorbing Lotion,"Oily, Pigmented"
Low,High,Low,Chanel - Hydra Beauty Micro Sérum,"Dry, Sensitive"
High,High,Low,Estée Lauder - Advanced Night Repair Serum,"Dry, Pigmented"
High,Medium,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,Medium,Medium,Clarins - Gentle Exfoliator,"Combination, Sensitive"
Low,Low,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Low,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Low,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Medium,High,Kiehl's - Ultra Facial Oil-Free Gel Cream,"Oily, Balanced"
Low,Low,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,High,Low,Chanel - Hydra Beauty Micro Sérum,"Dry, Sensitive"
Medium,Low,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,High,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,Low,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,Low,High,La Mer - The Oil Absorbing Lotion,"Oily, Pigmented"
High,High,Low,Estée Lauder - Advanced Night Repair Serum,"Dry, Pigmented"
Medium,High,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,High,Medium,Clarins - Gentle Exfoliator,"Combination, Sensitive"
Medium,Medium,High,Kiehl's - Ultra Facial Oil-Free Gel Cream,"Oily, Balanced"
Medium,Medium,High,Kiehl's - Ultra Facial Oil-Free Gel Cream,"Oily, Balanced"
Medium,Medium,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Low,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Medium,High,Kiehl's - Ultra Facial Oil-Free Gel Cream,"Oily, Balanced"
Medium,Low,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Low,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,Medium,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,Medium,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Medium,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,High,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Medium,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,High,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Low,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,Medium,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,Low,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Low,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,Low,High,La Mer - The Oil Absorbing Lotion,"Oily, Pigmented"
Low,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Medium,High,Kiehl's - Ultra Facial Oil-Free Gel Cream,"Oily, Balanced"
Low,Low,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,Low,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Medium,Low,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,High,Low,Estée Lauder - Advanced Night Repair Serum,"Dry, Pigmented"
Low,High,Medium,Clarins - Gentle Exfoliator,"Combination, Sensitive"
Medium,Medium,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,High,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,Low,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,Medium,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,Low,High,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
High,Low,Low,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,High,Low,Chanel - Hydra Beauty Micro Sérum,"Dry, Sensitive"
Low,Medium,Medium,Clarins - Gentle Exfoliator,"Combination, Sensitive"
Low,High,Medium,Clarins - Gentle Exfoliator,"Combination, Sensitive"
High,High,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
Low,Medium,Medium,Clarins - Gentle Exfoliator,"Combination, Sensitive"
Low,Low,Medium,Dr. Dennis Gross - C+ Collagen Brighten & Firm Vitamin C Serum,Normal
